model,class_id,class_name,dice,iou,accuracy,precision,recall,f1_score
ResUNet,0,Background,0.912029,0.83829033,0.88757384,0.9185518,0.90559983,0.912029
ResUNet,1,Granulation,0.22127411,0.12534674,0.95160806,0.21547455,0.35157266,0.22127411
ResUNet,2,Slough,0.9209266,0.85344326,0.9743837,0.93603146,0.9063125,0.9209266
ResUNet,3,Necrotic,0.6356363,0.46588477,0.87781465,0.6127481,0.6656774,0.63563627
ResUNet,-1,Wound Average (1-3),0.5926123,0.48155823,0.9346021,0.5880847,0.64118755,0.5926123
ResUNet,-2,All Classes Average,0.6724665,0.57074124,0.9228451,0.6707015,0.70729065,0.6724665
U-Net++,0,Background,0.9054551,0.82823515,0.88291883,0.9421214,0.8734185,0.9054551
U-Net++,1,Granulation,0.32157996,0.19289011,0.9650998,0.42747778,0.38546428,0.32157993
U-Net++,2,Slough,0.9337108,0.87568593,0.978546,0.942242,0.92542124,0.9337109
U-Net++,3,Necrotic,0.63453853,0.4669208,0.85695964,0.57535523,0.74664986,0.63453853
U-Net++,-1,Wound Average (1-3),0.6299431,0.5118323,0.93353516,0.64835835,0.68584514,0.6299431
U-Net++,-2,All Classes Average,0.69882107,0.590933,0.9208811,0.7217991,0.7327385,0.69882107
Ensemble,0,Background,0.9054551,0.82823515,0.88291883,0.9421214,0.8734185,0.9054551
Ensemble,1,Granulation,0.32157996,0.19289011,0.9650998,0.42747778,0.38546428,0.32157993
Ensemble,2,Slough,0.9337108,0.87568593,0.978546,0.942242,0.92542124,0.9337109
Ensemble,3,Necrotic,0.63453853,0.4669208,0.85695964,0.57535523,0.74664986,0.63453853
Ensemble,-1,Wound Average (1-3),0.6299431,0.5118323,0.93353516,0.64835835,0.68584514,0.6299431
Ensemble,-2,All Classes Average,0.69882107,0.590933,0.9208811,0.7217991,0.7327385,0.69882107
